,SDOstreamc,CluStream,DenStream,BIRCH,StreamKM,GT
66,3,0.0,0.0,0.0,0.0,1.0
67,1,1.0,0.0,0.0,1.0,0.0
68,1,1.0,0.0,0.0,1.0,0.0
69,1,1.0,0.0,0.0,1.0,0.0
70,4,1.0,0.0,0.0,1.0,0.0
71,1,1.0,0.0,0.0,1.0,0.0
72,3,0.0,0.0,0.0,0.0,1.0
73,3,0.0,0.0,0.0,0.0,1.0
74,1,1.0,0.0,0.0,1.0,0.0
75,3,0.0,0.0,0.0,0.0,1.0
76,3,0.0,0.0,0.0,0.0,1.0
77,4,1.0,0.0,0.0,1.0,0.0
78,1,1.0,0.0,0.0,1.0,0.0
79,3,0.0,0.0,0.0,0.0,1.0
80,4,1.0,0.0,0.0,1.0,0.0
81,3,0.0,0.0,0.0,0.0,1.0
82,1,1.0,0.0,0.0,1.0,0.0
83,4,1.0,0.0,0.0,1.0,0.0
84,3,0.0,0.0,0.0,0.0,1.0
85,4,1.0,0.0,0.0,1.0,0.0
86,1,1.0,0.0,0.0,1.0,0.0
87,1,1.0,0.0,0.0,1.0,0.0
88,4,1.0,0.0,0.0,1.0,0.0
89,1,1.0,0.0,0.0,1.0,0.0
90,3,0.0,0.0,0.0,0.0,1.0
91,3,0.0,0.0,0.0,0.0,1.0
92,1,1.0,0.0,0.0,1.0,0.0
93,0,0.0,0.0,0.0,0.0,1.0
94,3,0.0,0.0,0.0,0.0,1.0
95,4,1.0,0.0,0.0,1.0,0.0
96,1,1.0,0.0,0.0,1.0,0.0
97,3,0.0,0.0,0.0,0.0,1.0
98,4,1.0,0.0,0.0,1.0,0.0
99,1,0.0,0.0,0.0,0.0,1.0
100,5,1.0,0.0,0.0,1.0,0.0
101,4,1.0,0.0,0.0,1.0,0.0
102,3,0.0,0.0,0.0,0.0,1.0
103,4,1.0,0.0,0.0,1.0,0.0
104,1,1.0,0.0,0.0,1.0,0.0
105,1,1.0,0.0,0.0,1.0,0.0
106,4,1.0,0.0,0.0,1.0,0.0
107,1,1.0,0.0,0.0,1.0,0.0
108,3,0.0,0.0,0.0,0.0,1.0
109,3,0.0,0.0,0.0,0.0,1.0
110,5,1.0,0.0,0.0,1.0,0.0
111,0,0.0,0.0,0.0,0.0,1.0
112,3,0.0,0.0,0.0,0.0,1.0
113,4,1.0,0.0,0.0,1.0,0.0
114,5,1.0,0.0,0.0,1.0,0.0
115,3,0.0,0.0,0.0,0.0,1.0
116,4,1.0,0.0,0.0,1.0,0.0
117,1,0.0,0.0,0.0,0.0,1.0
118,5,1.0,0.0,0.0,1.0,0.0
119,4,1.0,0.0,0.0,1.0,0.0
120,3,0.0,0.0,0.0,0.0,1.0
121,4,1.0,0.0,0.0,1.0,0.0
122,1,1.0,0.0,0.0,1.0,0.0
123,1,1.0,0.0,0.0,1.0,0.0
124,4,1.0,0.0,0.0,1.0,0.0
125,1,1.0,0.0,0.0,1.0,0.0
126,3,0.0,0.0,0.0,0.0,1.0
127,3,0.0,0.0,0.0,0.0,1.0
128,5,1.0,0.0,0.0,1.0,0.0
129,6,0.0,0.0,0.0,0.0,1.0
130,3,0.0,0.0,0.0,0.0,1.0
131,4,1.0,0.0,0.0,1.0,0.0
132,5,1.0,0.0,0.0,1.0,0.0
133,3,0.0,0.0,0.0,0.0,1.0
134,4,1.0,0.0,0.0,1.0,0.0
135,6,0.0,0.0,0.0,0.0,1.0
136,5,1.0,0.0,0.0,1.0,0.0
137,4,1.0,0.0,0.0,1.0,0.0
138,3,0.0,0.0,0.0,0.0,1.0
139,4,1.0,0.0,0.0,1.0,0.0
140,1,1.0,0.0,0.0,1.0,0.0
141,1,1.0,0.0,0.0,1.0,0.0
142,1,1.0,0.0,0.0,1.0,0.0
143,1,1.0,0.0,0.0,1.0,0.0
144,3,0.0,0.0,0.0,0.0,1.0
145,3,0.0,0.0,0.0,0.0,1.0
146,5,1.0,0.0,0.0,1.0,0.0
147,6,0.0,0.0,0.0,0.0,1.0
148,3,0.0,0.0,0.0,0.0,1.0
149,7,1.0,0.0,0.0,1.0,0.0
150,5,1.0,0.0,0.0,1.0,0.0
151,3,0.0,0.0,0.0,0.0,1.0
152,4,1.0,0.0,0.0,1.0,0.0
153,6,0.0,0.0,0.0,0.0,1.0
154,5,1.0,0.0,0.0,1.0,0.0
155,4,1.0,0.0,0.0,1.0,0.0
156,3,0.0,0.0,0.0,0.0,1.0
157,7,1.0,0.0,0.0,1.0,0.0
158,1,1.0,0.0,0.0,1.0,0.0
159,1,1.0,0.0,0.0,1.0,0.0
160,4,1.0,0.0,0.0,1.0,0.0
161,1,1.0,0.0,0.0,1.0,0.0
162,3,0.0,0.0,0.0,0.0,1.0
163,0,0.0,0.0,0.0,0.0,1.0
164,5,1.0,0.0,0.0,1.0,0.0
165,6,0.0,0.0,0.0,0.0,1.0
166,0,0.0,0.0,0.0,0.0,1.0
167,7,1.0,0.0,0.0,1.0,0.0
168,5,1.0,0.0,0.0,1.0,0.0
169,3,0.0,0.0,0.0,0.0,1.0
170,4,1.0,0.0,0.0,1.0,0.0
171,6,0.0,0.0,0.0,0.0,1.0
172,0,1.0,0.0,0.0,1.0,0.0
173,4,1.0,0.0,0.0,1.0,0.0
174,3,0.0,0.0,0.0,0.0,1.0
175,7,1.0,0.0,0.0,1.0,0.0
176,1,1.0,0.0,0.0,1.0,0.0
177,1,1.0,0.0,0.0,1.0,0.0
178,4,1.0,0.0,0.0,1.0,0.0
179,1,1.0,0.0,0.0,1.0,0.0
180,3,0.0,0.0,0.0,0.0,1.0
181,0,0.0,0.0,0.0,0.0,1.0
182,5,1.0,0.0,0.0,1.0,0.0
183,6,0.0,0.0,0.0,0.0,1.0
184,0,0.0,0.0,0.0,0.0,1.0
185,7,1.0,0.0,0.0,1.0,0.0
186,5,1.0,0.0,0.0,1.0,0.0
187,3,0.0,0.0,0.0,0.0,1.0
188,4,1.0,0.0,0.0,1.0,0.0
189,6,0.0,0.0,0.0,0.0,1.0
190,0,1.0,0.0,0.0,1.0,0.0
191,4,1.0,0.0,0.0,1.0,0.0
192,3,0.0,0.0,0.0,0.0,1.0
193,7,1.0,0.0,0.0,1.0,0.0
194,1,1.0,0.0,0.0,1.0,0.0
195,1,1.0,0.0,0.0,1.0,0.0
196,0,1.0,0.0,0.0,1.0,0.0
197,1,1.0,0.0,0.0,1.0,0.0
198,3,0.0,0.0,0.0,0.0,1.0
199,0,0.0,0.0,0.0,0.0,1.0
200,5,1.0,0.0,0.0,1.0,0.0
201,6,0.0,0.0,0.0,0.0,1.0
202,0,0.0,0.0,0.0,0.0,1.0
203,7,1.0,0.0,0.0,1.0,0.0
204,8,1.0,0.0,0.0,1.0,0.0
205,3,0.0,0.0,0.0,0.0,1.0
206,4,1.0,0.0,0.0,1.0,0.0
207,6,0.0,0.0,0.0,0.0,1.0
208,8,1.0,0.0,0.0,1.0,0.0
209,4,1.0,0.0,0.0,1.0,0.0
210,3,0.0,0.0,0.0,0.0,1.0
211,7,1.0,0.0,0.0,1.0,0.0
212,1,1.0,0.0,0.0,1.0,0.0
213,1,1.0,0.0,0.0,1.0,0.0
214,4,1.0,0.0,0.0,1.0,0.0
215,1,1.0,0.0,0.0,1.0,0.0
216,3,0.0,0.0,0.0,0.0,1.0
217,0,0.0,0.0,0.0,0.0,1.0
218,5,1.0,0.0,0.0,1.0,0.0
219,6,0.0,0.0,0.0,0.0,1.0
220,0,0.0,0.0,0.0,0.0,1.0
221,7,1.0,0.0,0.0,1.0,0.0
222,8,1.0,0.0,0.0,1.0,0.0
223,3,0.0,0.0,0.0,0.0,1.0
224,4,1.0,0.0,0.0,1.0,0.0
225,6,0.0,0.0,0.0,0.0,1.0
226,8,1.0,0.0,0.0,1.0,0.0
227,4,1.0,0.0,0.0,1.0,0.0
228,9,0.0,0.0,0.0,0.0,1.0
229,7,1.0,0.0,0.0,1.0,0.0
230,1,1.0,0.0,0.0,1.0,0.0
231,1,1.0,0.0,0.0,1.0,0.0
232,10,1.0,0.0,0.0,1.0,0.0
233,11,1.0,0.0,0.0,1.0,0.0
234,3,0.0,0.0,0.0,0.0,1.0
235,0,0.0,0.0,0.0,0.0,1.0
236,5,1.0,0.0,0.0,1.0,0.0
237,6,0.0,0.0,0.0,0.0,1.0
238,0,0.0,0.0,0.0,0.0,1.0
239,7,1.0,0.0,0.0,1.0,0.0
240,8,1.0,0.0,0.0,1.0,0.0
241,3,0.0,0.0,0.0,0.0,1.0
242,4,1.0,0.0,0.0,1.0,0.0
243,6,0.0,0.0,0.0,0.0,1.0
244,8,1.0,0.0,0.0,1.0,0.0
245,4,1.0,0.0,0.0,1.0,0.0
246,9,0.0,0.0,0.0,0.0,1.0
247,12,1.0,0.0,0.0,1.0,0.0
248,1,1.0,0.0,0.0,1.0,0.0
249,1,1.0,0.0,0.0,1.0,0.0
250,10,1.0,0.0,0.0,1.0,0.0
251,11,1.0,0.0,0.0,1.0,0.0
252,3,0.0,0.0,0.0,0.0,1.0
253,0,0.0,0.0,0.0,0.0,1.0
254,5,1.0,0.0,0.0,1.0,0.0
255,6,0.0,0.0,0.0,0.0,1.0
256,0,0.0,0.0,0.0,0.0,1.0
257,12,1.0,0.0,0.0,1.0,0.0
258,8,1.0,0.0,0.0,1.0,0.0
259,3,0.0,0.0,0.0,0.0,1.0
260,4,1.0,0.0,0.0,1.0,0.0
261,6,0.0,0.0,0.0,0.0,1.0
262,8,1.0,0.0,0.0,1.0,0.0
263,4,1.0,0.0,0.0,1.0,0.0
264,9,0.0,0.0,0.0,0.0,1.0
265,13,1.0,0.0,0.0,1.0,0.0
266,1,1.0,0.0,0.0,1.0,0.0
267,1,1.0,0.0,0.0,1.0,0.0
268,10,1.0,0.0,0.0,1.0,0.0
269,11,1.0,0.0,0.0,1.0,0.0
270,3,0.0,0.0,0.0,0.0,1.0
271,0,0.0,0.0,0.0,0.0,1.0
272,5,1.0,0.0,0.0,1.0,0.0
273,6,0.0,0.0,0.0,0.0,1.0
274,0,0.0,0.0,0.0,0.0,1.0
275,13,1.0,0.0,0.0,1.0,0.0
276,8,1.0,0.0,0.0,1.0,0.0
277,3,0.0,0.0,0.0,0.0,1.0
278,4,1.0,0.0,0.0,1.0,0.0
279,6,0.0,0.0,0.0,0.0,1.0
280,8,1.0,0.0,0.0,1.0,0.0
281,15,1.0,0.0,0.0,1.0,0.0
282,9,0.0,0.0,0.0,0.0,1.0
283,16,1.0,0.0,0.0,1.0,0.0
284,1,1.0,0.0,0.0,1.0,0.0
285,1,1.0,0.0,0.0,1.0,0.0
286,17,1.0,0.0,0.0,1.0,0.0
287,11,1.0,0.0,0.0,1.0,0.0
288,3,0.0,0.0,0.0,0.0,1.0
289,0,0.0,0.0,0.0,0.0,1.0
290,14,1.0,0.0,0.0,1.0,0.0
291,6,0.0,0.0,0.0,0.0,1.0
292,0,0.0,0.0,0.0,0.0,1.0
293,16,1.0,0.0,0.0,1.0,0.0
294,8,1.0,0.0,0.0,1.0,0.0
295,3,0.0,0.0,0.0,0.0,1.0
296,19,1.0,0.0,0.0,1.0,0.0
297,6,0.0,0.0,0.0,0.0,1.0
298,8,1.0,0.0,0.0,1.0,0.0
299,16,1.0,0.0,0.0,1.0,0.0
300,9,0.0,0.0,0.0,0.0,1.0
301,16,1.0,0.0,0.0,1.0,0.0
302,1,1.0,0.0,0.0,1.0,0.0
303,1,1.0,0.0,0.0,1.0,0.0
304,16,1.0,0.0,0.0,1.0,0.0
305,11,1.0,0.0,0.0,1.0,0.0
306,3,0.0,0.0,0.0,0.0,1.0
307,18,0.0,0.0,0.0,0.0,1.0
308,14,1.0,0.0,0.0,1.0,0.0
309,6,0.0,0.0,0.0,0.0,1.0
310,20,0.0,0.0,0.0,0.0,1.0
311,16,1.0,0.0,0.0,1.0,0.0
312,8,1.0,0.0,0.0,1.0,0.0
313,3,0.0,0.0,0.0,0.0,1.0
314,16,1.0,0.0,0.0,1.0,0.0
315,6,0.0,0.0,0.0,0.0,1.0
316,8,1.0,0.0,0.0,1.0,0.0
317,16,1.0,0.0,0.0,1.0,0.0
318,9,0.0,0.0,0.0,0.0,1.0
319,16,1.0,0.0,0.0,1.0,0.0
320,1,1.0,0.0,0.0,1.0,0.0
321,1,1.0,0.0,0.0,1.0,0.0
322,16,1.0,0.0,0.0,1.0,0.0
323,11,1.0,0.0,0.0,1.0,0.0
324,3,0.0,0.0,0.0,0.0,1.0
325,18,0.0,0.0,0.0,0.0,1.0
326,14,1.0,0.0,0.0,1.0,0.0
327,6,0.0,0.0,0.0,0.0,1.0
328,20,0.0,0.0,0.0,0.0,1.0
329,16,1.0,0.0,0.0,1.0,0.0
330,8,1.0,0.0,0.0,1.0,0.0
331,3,0.0,0.0,0.0,0.0,1.0
332,16,1.0,0.0,0.0,1.0,0.0
333,6,0.0,0.0,0.0,0.0,1.0
334,8,1.0,0.0,0.0,1.0,0.0
335,16,1.0,0.0,0.0,1.0,0.0
336,9,0.0,0.0,0.0,0.0,1.0
337,16,1.0,0.0,0.0,1.0,0.0
338,1,1.0,0.0,0.0,1.0,0.0
339,1,1.0,0.0,0.0,1.0,0.0
340,21,1.0,0.0,0.0,1.0,0.0
341,11,1.0,0.0,0.0,1.0,0.0
342,3,0.0,0.0,0.0,0.0,1.0
343,18,0.0,0.0,0.0,0.0,1.0
344,14,1.0,0.0,0.0,1.0,0.0
345,6,0.0,0.0,0.0,0.0,1.0
346,20,0.0,0.0,0.0,0.0,1.0
347,16,1.0,0.0,0.0,1.0,0.0
348,8,1.0,0.0,0.0,1.0,0.0
349,3,0.0,0.0,0.0,0.0,1.0
350,16,1.0,0.0,0.0,1.0,0.0
351,6,0.0,0.0,0.0,0.0,1.0
352,8,1.0,0.0,0.0,1.0,0.0
353,16,1.0,0.0,0.0,1.0,0.0
354,9,0.0,0.0,0.0,0.0,1.0
355,16,1.0,0.0,0.0,1.0,0.0
356,1,1.0,0.0,0.0,1.0,0.0
357,1,1.0,0.0,0.0,1.0,0.0
358,21,1.0,0.0,0.0,1.0,0.0
359,11,1.0,0.0,0.0,1.0,0.0
360,3,0.0,0.0,0.0,0.0,1.0
361,18,0.0,0.0,0.0,0.0,1.0
362,14,1.0,0.0,0.0,1.0,0.0
363,6,0.0,0.0,0.0,0.0,1.0
364,20,0.0,0.0,0.0,0.0,1.0
365,16,1.0,0.0,0.0,1.0,0.0
366,8,1.0,0.0,0.0,1.0,0.0
367,3,0.0,0.0,0.0,0.0,1.0
368,16,1.0,0.0,0.0,1.0,0.0
369,6,0.0,0.0,0.0,0.0,1.0
370,8,1.0,0.0,0.0,1.0,0.0
371,16,1.0,0.0,0.0,1.0,0.0
372,9,0.0,0.0,0.0,0.0,1.0
373,16,1.0,0.0,0.0,1.0,0.0
374,1,1.0,0.0,0.0,1.0,0.0
375,1,1.0,0.0,0.0,1.0,0.0
376,16,1.0,0.0,0.0,1.0,0.0
377,11,1.0,0.0,0.0,1.0,0.0
378,3,0.0,0.0,0.0,0.0,1.0
379,18,0.0,0.0,0.0,0.0,1.0
380,14,1.0,0.0,0.0,1.0,0.0
381,22,0.0,0.0,0.0,0.0,1.0
382,20,0.0,0.0,0.0,0.0,1.0
383,16,1.0,0.0,0.0,1.0,0.0
384,8,1.0,0.0,0.0,1.0,0.0
385,3,0.0,0.0,0.0,0.0,1.0
386,16,1.0,0.0,0.0,1.0,0.0
387,6,0.0,0.0,0.0,0.0,1.0
388,8,1.0,0.0,0.0,1.0,0.0
389,16,1.0,0.0,0.0,1.0,0.0
390,9,0.0,0.0,0.0,0.0,1.0
391,16,1.0,0.0,0.0,1.0,0.0
392,1,1.0,0.0,0.0,1.0,0.0
393,1,1.0,0.0,0.0,1.0,0.0
394,16,1.0,0.0,0.0,1.0,0.0
395,11,1.0,0.0,0.0,1.0,0.0
396,3,0.0,0.0,0.0,0.0,1.0
397,18,0.0,0.0,0.0,0.0,1.0
398,14,1.0,0.0,0.0,1.0,0.0
399,22,0.0,0.0,0.0,0.0,1.0
400,20,0.0,0.0,0.0,0.0,1.0
401,16,1.0,0.0,0.0,1.0,0.0
402,8,1.0,0.0,0.0,1.0,0.0
403,3,0.0,0.0,0.0,0.0,1.0
404,16,1.0,0.0,0.0,1.0,0.0
405,6,0.0,0.0,0.0,0.0,1.0
406,8,1.0,0.0,0.0,1.0,0.0
407,16,1.0,0.0,0.0,1.0,0.0
408,9,0.0,0.0,0.0,0.0,1.0
409,16,1.0,0.0,0.0,1.0,0.0
410,1,1.0,0.0,0.0,1.0,0.0
411,1,1.0,0.0,0.0,1.0,0.0
412,16,1.0,0.0,0.0,1.0,0.0
413,11,1.0,0.0,0.0,1.0,0.0
414,3,0.0,0.0,0.0,0.0,1.0
415,18,0.0,0.0,0.0,0.0,1.0
416,14,1.0,0.0,0.0,1.0,0.0
417,22,0.0,0.0,0.0,0.0,1.0
418,20,0.0,0.0,0.0,0.0,1.0
419,16,1.0,0.0,0.0,1.0,0.0
420,8,1.0,0.0,0.0,1.0,0.0
421,3,0.0,0.0,0.0,0.0,1.0
422,16,1.0,0.0,0.0,1.0,0.0
423,6,0.0,0.0,0.0,0.0,1.0
424,8,1.0,0.0,0.0,1.0,0.0
425,16,1.0,0.0,0.0,1.0,0.0
426,9,0.0,0.0,0.0,0.0,1.0
427,16,1.0,0.0,0.0,1.0,0.0
428,1,1.0,0.0,0.0,1.0,0.0
429,1,1.0,0.0,0.0,1.0,0.0
430,16,1.0,0.0,0.0,1.0,0.0
431,11,1.0,0.0,0.0,1.0,0.0
432,3,0.0,0.0,0.0,0.0,1.0
433,18,0.0,0.0,0.0,0.0,1.0
434,14,1.0,0.0,0.0,1.0,0.0
435,22,0.0,0.0,0.0,0.0,1.0
436,20,0.0,0.0,0.0,0.0,1.0
437,16,1.0,0.0,0.0,1.0,0.0
438,8,1.0,0.0,0.0,1.0,0.0
439,3,0.0,0.0,0.0,0.0,1.0
440,16,1.0,0.0,0.0,1.0,0.0
441,6,0.0,0.0,0.0,0.0,1.0
442,8,1.0,0.0,0.0,1.0,0.0
443,16,1.0,0.0,0.0,1.0,0.0
444,9,0.0,0.0,0.0,0.0,1.0
445,16,1.0,0.0,0.0,1.0,0.0
446,1,1.0,0.0,0.0,1.0,0.0
447,1,1.0,0.0,0.0,1.0,0.0
448,16,1.0,0.0,0.0,1.0,0.0
449,11,1.0,0.0,0.0,1.0,0.0
450,3,0.0,0.0,0.0,0.0,1.0
451,18,0.0,0.0,0.0,0.0,1.0
452,14,1.0,0.0,0.0,1.0,0.0
453,22,0.0,0.0,0.0,0.0,1.0
454,20,0.0,0.0,0.0,0.0,1.0
455,16,1.0,0.0,0.0,1.0,0.0
456,8,1.0,0.0,0.0,1.0,0.0
457,3,0.0,0.0,0.0,0.0,1.0
458,16,1.0,0.0,0.0,1.0,0.0
459,6,0.0,0.0,0.0,0.0,1.0
460,8,1.0,0.0,0.0,1.0,0.0
461,16,1.0,0.0,0.0,1.0,0.0
462,9,0.0,0.0,0.0,0.0,1.0
463,16,1.0,0.0,0.0,1.0,0.0
464,1,1.0,0.0,0.0,1.0,0.0
465,1,1.0,0.0,0.0,1.0,0.0
466,16,1.0,0.0,0.0,1.0,0.0
467,11,1.0,0.0,0.0,1.0,0.0
468,3,0.0,0.0,0.0,0.0,1.0
469,18,0.0,0.0,0.0,0.0,1.0
470,14,1.0,0.0,0.0,1.0,0.0
471,22,0.0,0.0,0.0,0.0,1.0
472,3,0.0,0.0,0.0,0.0,1.0
473,16,1.0,0.0,0.0,1.0,0.0
474,8,1.0,0.0,0.0,1.0,0.0
475,3,0.0,0.0,0.0,0.0,1.0
476,16,1.0,0.0,0.0,1.0,0.0
477,6,0.0,0.0,0.0,0.0,1.0
478,8,1.0,0.0,0.0,1.0,0.0
479,16,1.0,0.0,0.0,1.0,0.0
480,9,0.0,0.0,0.0,0.0,1.0
481,16,1.0,0.0,0.0,1.0,0.0
482,1,1.0,0.0,0.0,1.0,0.0
483,1,1.0,0.0,0.0,1.0,0.0
484,16,1.0,0.0,0.0,1.0,0.0
485,11,1.0,0.0,0.0,1.0,0.0
486,3,0.0,0.0,0.0,0.0,1.0
487,18,0.0,0.0,0.0,0.0,1.0
488,14,1.0,0.0,0.0,1.0,0.0
489,22,0.0,0.0,0.0,0.0,1.0
490,3,0.0,0.0,0.0,0.0,1.0
491,16,1.0,0.0,0.0,1.0,0.0
492,8,1.0,0.0,0.0,1.0,0.0
493,3,0.0,0.0,0.0,0.0,1.0
494,16,1.0,0.0,0.0,1.0,0.0
495,6,0.0,0.0,0.0,0.0,1.0
496,8,1.0,0.0,0.0,1.0,0.0
497,16,1.0,0.0,0.0,1.0,0.0
498,9,0.0,0.0,0.0,0.0,1.0
499,16,1.0,0.0,0.0,1.0,0.0
500,1,1.0,0.0,0.0,1.0,0.0
501,1,1.0,0.0,0.0,1.0,0.0
502,16,1.0,0.0,0.0,1.0,0.0
503,11,1.0,0.0,0.0,1.0,0.0
504,3,0.0,0.0,0.0,0.0,1.0
505,18,0.0,0.0,0.0,0.0,1.0
506,14,1.0,0.0,0.0,1.0,0.0
507,22,0.0,0.0,0.0,0.0,1.0
508,3,0.0,0.0,0.0,0.0,1.0
509,16,1.0,0.0,0.0,1.0,0.0
510,8,1.0,0.0,0.0,1.0,0.0
511,3,0.0,0.0,0.0,0.0,1.0
512,16,1.0,0.0,0.0,1.0,0.0
513,6,0.0,0.0,0.0,0.0,1.0
514,8,1.0,0.0,0.0,1.0,0.0
515,16,1.0,0.0,0.0,1.0,0.0
516,9,0.0,0.0,0.0,0.0,1.0
517,16,1.0,0.0,0.0,1.0,0.0
518,1,1.0,0.0,0.0,1.0,0.0
519,1,1.0,0.0,0.0,1.0,0.0
520,16,1.0,0.0,0.0,1.0,0.0
521,11,1.0,0.0,0.0,1.0,0.0
522,3,0.0,0.0,0.0,0.0,1.0
523,18,0.0,0.0,0.0,0.0,1.0
524,14,1.0,0.0,0.0,1.0,0.0
525,22,0.0,0.0,0.0,0.0,1.0
526,18,0.0,0.0,0.0,0.0,1.0
527,16,1.0,0.0,0.0,1.0,0.0
528,8,1.0,0.0,0.0,1.0,0.0
529,3,0.0,0.0,0.0,0.0,1.0
530,16,1.0,0.0,0.0,1.0,0.0
531,6,0.0,0.0,0.0,0.0,1.0
532,8,1.0,0.0,0.0,1.0,0.0
533,16,1.0,0.0,0.0,1.0,0.0
534,9,0.0,0.0,0.0,0.0,1.0
535,16,1.0,0.0,0.0,1.0,0.0
536,1,1.0,0.0,0.0,1.0,0.0
537,1,1.0,0.0,0.0,1.0,0.0
538,16,1.0,0.0,0.0,1.0,0.0
539,11,1.0,0.0,0.0,1.0,0.0
540,3,0.0,0.0,0.0,0.0,1.0
541,18,0.0,0.0,0.0,0.0,1.0
542,14,1.0,0.0,0.0,1.0,0.0
543,22,0.0,0.0,0.0,0.0,1.0
544,18,0.0,0.0,0.0,0.0,1.0
545,16,1.0,0.0,0.0,1.0,0.0
546,8,1.0,0.0,0.0,1.0,0.0
547,3,0.0,0.0,0.0,0.0,1.0
548,16,1.0,0.0,0.0,1.0,0.0
549,6,0.0,0.0,0.0,0.0,1.0
550,8,1.0,0.0,0.0,1.0,0.0
551,16,1.0,0.0,0.0,1.0,0.0
552,9,0.0,0.0,0.0,0.0,1.0
553,16,1.0,0.0,0.0,1.0,0.0
554,1,1.0,0.0,0.0,1.0,0.0
555,1,1.0,0.0,0.0,1.0,0.0
556,16,1.0,0.0,0.0,1.0,0.0
557,11,1.0,0.0,0.0,1.0,0.0
558,3,0.0,0.0,0.0,0.0,1.0
559,18,0.0,0.0,0.0,0.0,1.0
560,14,1.0,0.0,0.0,1.0,0.0
561,22,0.0,0.0,0.0,0.0,1.0
562,18,0.0,0.0,0.0,0.0,1.0
563,16,1.0,0.0,0.0,1.0,0.0
564,8,1.0,0.0,0.0,1.0,0.0
565,3,0.0,0.0,0.0,0.0,1.0
566,16,1.0,0.0,0.0,1.0,0.0
567,6,0.0,0.0,0.0,0.0,1.0
568,8,1.0,0.0,0.0,1.0,0.0
569,16,1.0,0.0,0.0,1.0,0.0
570,9,0.0,0.0,0.0,0.0,1.0
571,16,1.0,0.0,0.0,1.0,0.0
572,1,1.0,0.0,0.0,1.0,0.0
573,1,1.0,0.0,0.0,1.0,0.0
574,16,1.0,0.0,0.0,1.0,0.0
575,1,1.0,0.0,0.0,1.0,0.0
576,3,0.0,0.0,0.0,0.0,1.0
577,18,0.0,0.0,0.0,0.0,1.0
578,14,1.0,0.0,0.0,1.0,0.0
579,22,0.0,0.0,0.0,0.0,1.0
